num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,4352,4,2048,51200,256,1,1,1,115.373,145.112,130.383,170.358,177.593,0.0005,189.56,0.0313,49.026,0.007,355.186,0.0392,102.33
16,4368,4,2048,51200,256,1,1,1,188.827,66.384,34.655,202.659,114.158,0.0005,169.302,0.0346,44.625,0.011,228.317,0.0466,86.863
16,4384,4,2048,51200,256,1,1,1,129.756,117.81,85.231,194.157,196.827,0.0005,182.425,0.032,48.501,0.0064,393.654,0.0395,103.223
16,4400,4,2048,51200,256,1,1,1,191.185,70.641,34.821,196.624,197.336,0.0005,147.856,0.0379,41.286,0.0064,394.672,0.0453,90.509
16,4416,4,2048,51200,256,1,1,1,141.533,137.874,130.805,209.484,211.716,0.0005,162.364,0.0333,47.249,0.006,423.433,0.0404,102.287
16,4432,4,2048,51200,256,1,1,1,190.597,71.53,34.852,201.564,114.057,0.0005,148.861,0.038,41.721,0.0113,228.113,0.0503,82.717
16,4448,4,2048,51200,256,1,1,1,141.081,115.347,97.032,220.933,223.353,0.0005,185.763,0.0313,50.997,0.0058,446.707,0.0381,109.909
16,4464,4,2048,51200,256,1,1,1,183.007,67.772,34.75,203.628,114.187,0.0005,149.871,0.0385,41.743,0.0114,228.375,0.0509,82.817
16,4480,4,2048,51200,256,1,1,1,199.881,141.484,126.204,223.162,182.933,0.0005,179.661,0.0296,54.63,0.0072,365.866,0.0378,112.468
16,4496,4,2048,51200,256,1,1,1,184.4,67.997,34.102,200.001,168.737,0.0005,149.41,0.0389,41.78,0.0079,337.474,0.0478,89.449
16,4512,4,2048,51200,256,1,1,1,218.001,114.869,92.185,206.454,193.874,0.0005,189.622,0.0291,56.203,0.0069,387.747,0.037,116.262
16,4528,4,2048,51200,256,1,1,1,182.186,72.281,33.958,208.437,180.943,0.0005,156.311,0.038,43.334,0.0074,361.887,0.0465,93.29
16,4544,4,2048,51200,256,1,1,1,226.295,139.851,120.124,234.29,199.865,0.0005,184.82,0.0289,57.35,0.0068,399.73,0.0367,118.907
16,4560,4,2048,51200,256,1,1,1,197.853,71.093,34.466,194.427,157.178,0.0005,166.651,0.0365,45.766,0.0087,314.355,0.0462,95.206
16,4576,4,2048,51200,256,1,1,1,207.711,120.311,88.537,229.452,226.212,0.0005,151.275,0.0348,48.209,0.0061,452.424,0.0419,105.514
16,4592,4,2048,51200,256,1,1,1,112.74,62.772,34.705,196.278,156.463,0.0005,158.833,0.0421,40.145,0.0088,312.927,0.052,85.712
16,4608,4,2048,51200,256,1,1,1,206.299,155.74,134.143,219.851,123.463,0.0005,168.566,0.0317,53.622,0.0113,246.927,0.044,101.886
16,4624,4,2048,51200,256,1,1,1,185.796,61.73,35.779,192.26,161.913,0.0005,169.959,0.0372,46.07,0.0087,323.827,0.0468,96.38
16,4640,4,2048,51200,256,1,1,1,201.094,127.491,90.62,220.584,204.319,0.0005,149.934,0.0358,48.163,0.0069,408.639,0.0437,103.991
16,4656,4,2048,51200,256,1,1,1,185.817,69.703,36.358,192.813,157.847,0.0005,184.163,0.0353,49.067,0.009,315.694,0.0454,100.862
